Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
244.41000366210938,244.74000549316406,244.41000366210938,244.61000061035156,85570,0.0,0.0,AAPL
244.55999755859375,244.63999938964844,244.42999267578125,244.4541015625,48313,0.0,0.0,AAPL
244.4499969482422,244.69000244140625,244.4499969482422,244.5399932861328,45001,0.0,0.0,AAPL
244.58999633789062,244.75,244.51499938964844,244.58999633789062,80371,0.0,0.0,AAPL
244.5399932861328,244.8052978515625,244.52499389648438,244.8052978515625,47881,0.0,0.0,AAPL
244.7899932861328,244.92999267578125,244.75999450683594,244.82699584960938,60637,0.0,0.0,AAPL
244.7971954345703,244.7971954345703,244.63999938964844,244.66000366210938,66722,0.0,0.0,AAPL
244.66000366210938,244.7799072265625,244.4949951171875,244.50999450683594,469545,0.0,0.0,AAPL
244.5,244.63999938964844,244.4031982421875,244.47999572753906,47884,0.0,0.0,AAPL
244.50999450683594,244.52999877929688,244.30999755859375,244.34730529785156,51961,0.0,0.0,AAPL
244.3699951171875,244.44610595703125,243.86000061035156,243.94500732421875,112382,0.0,0.0,AAPL
243.99000549316406,244.02999877929688,243.8800048828125,244.0,75035,0.0,0.0,AAPL
243.99000549316406,244.12049865722656,243.94000244140625,244.1082000732422,49899,0.0,0.0,AAPL
244.0904998779297,244.139892578125,244.00010681152344,244.0904998779297,65894,0.0,0.0,AAPL
244.0800018310547,244.14999389648438,244.02699279785156,244.07479858398438,69980,0.0,0.0,AAPL
244.0850067138672,244.2899932861328,244.07000732421875,244.27999877929688,83529,0.0,0.0,AAPL
244.625,244.69000244140625,244.27999877929688,244.625,96652,0.0,0.0,AAPL
244.60800170898438,244.6392059326172,244.36000061035156,244.42990112304688,62127,0.0,0.0,AAPL
244.4149932861328,244.47000122070312,244.0800018310547,244.09800720214844,49882,0.0,0.0,AAPL
244.1300048828125,244.25999450683594,244.0800018310547,244.1300048828125,54210,0.0,0.0,AAPL
244.1649932861328,244.17999267578125,244.05999755859375,244.13999938964844,32528,0.0,0.0,AAPL
244.1300048828125,244.39990234375,244.1300048828125,244.3300018310547,58337,0.0,0.0,AAPL
244.3300018310547,244.47999572753906,244.27000427246094,244.47320556640625,57905,0.0,0.0,AAPL
244.47999572753906,244.48800659179688,244.2100067138672,244.22999572753906,45117,0.0,0.0,AAPL
244.22999572753906,244.39999389648438,244.2100067138672,244.36000061035156,45191,0.0,0.0,AAPL
244.33999633789062,244.35499572753906,244.1750030517578,244.24000549316406,50334,0.0,0.0,AAPL
244.24000549316406,244.38999938964844,244.24000549316406,244.3800048828125,44466,0.0,0.0,AAPL
244.37010192871094,244.39500427246094,244.22999572753906,244.27000427246094,47678,0.0,0.0,AAPL
244.36000061035156,244.4600067138672,244.2700958251953,244.36000061035156,51242,0.0,0.0,AAPL
244.33999633789062,244.41000366210938,244.07000732421875,244.0800018310547,47008,0.0,0.0,AAPL
244.04029846191406,244.22000122070312,243.97000122070312,244.19000244140625,56307,0.0,0.0,AAPL
244.1999969482422,244.1999969482422,244.0800018310547,244.1300048828125,37111,0.0,0.0,AAPL
244.14999389648438,244.1999969482422,243.94000244140625,243.97999572753906,72707,0.0,0.0,AAPL
243.98500061035156,244.24000549316406,243.98500061035156,244.22999572753906,47342,0.0,0.0,AAPL
244.21200561523438,244.2899932861328,244.0500030517578,244.19320678710938,53645,0.0,0.0,AAPL
244.22999572753906,244.22999572753906,244.07350158691406,244.07350158691406,65597,0.0,0.0,AAPL
244.0792999267578,244.2100067138672,243.9600067138672,244.2100067138672,68774,0.0,0.0,AAPL
244.18479919433594,244.41000366210938,244.17919921875,244.41000366210938,71619,0.0,0.0,AAPL
244.41000366210938,244.41000366210938,244.2801055908203,244.32000732421875,51289,0.0,0.0,AAPL
244.33050537109375,244.4499969482422,244.3000030517578,244.32000732421875,48294,0.0,0.0,AAPL
244.32000732421875,244.3800048828125,244.2613983154297,244.3300018310547,41566,0.0,0.0,AAPL
244.21499633789062,244.39999389648438,244.14999389648438,244.21499633789062,72330,0.0,0.0,AAPL
244.2100067138672,244.2156982421875,243.9499969482422,244.02000427246094,92713,0.0,0.0,AAPL
244.01100158691406,244.42999267578125,244.00999450683594,244.3300018310547,73018,0.0,0.0,AAPL
244.30999755859375,244.39999389648438,244.3000030517578,244.3699951171875,40189,0.0,0.0,AAPL
244.3634033203125,244.39999389648438,244.27099609375,244.36000061035156,45696,0.0,0.0,AAPL
244.3699951171875,244.4499969482422,244.27000427246094,244.3000030517578,47460,0.0,0.0,AAPL
244.32000732421875,244.40199279785156,244.30430603027344,244.3800048828125,31723,0.0,0.0,AAPL
244.33799743652344,244.4199981689453,244.32000732421875,244.33799743652344,28605,0.0,0.0,AAPL
